iter	Passed	Remaining
0	1	179
1	3	189
2	5	177
3	6	163
4	8	155
5	9	151
6	11	146
7	12	143
8	13	139
9	15	136
10	16	133
11	17	131
12	19	128
13	20	125
14	21	123
15	23	121
16	24	119
17	25	116
18	27	115
19	28	114
20	29	112
21	31	111
22	32	109
23	34	108
24	35	106
25	37	105
26	38	104
27	39	102
28	41	100
29	42	99
30	44	98
31	45	96
32	47	95
33	48	94
34	50	93
35	51	92
36	53	90
37	54	89
38	56	87
39	57	86
40	58	84
41	59	82
42	60	80
43	62	79
44	63	77
45	65	76
46	66	74
47	68	73
48	69	72
49	70	70
50	72	69
51	73	68
52	75	66
53	76	65
54	77	63
55	78	61
56	80	60
57	81	59
58	82	57
59	84	56
60	85	54
61	87	53
62	88	51
63	89	50
64	91	49
65	92	47
66	94	46
67	96	45
68	97	43
69	99	42
70	100	41
71	101	39
72	103	38
73	104	36
74	106	35
75	107	33
76	108	32
77	110	31
78	111	29
79	112	28
80	114	26
81	115	25
82	117	24
83	118	22
84	120	21
85	121	19
86	122	18
87	124	16
88	125	15
89	127	14
90	129	12
91	131	11
92	133	10
93	135	8
94	136	7
95	138	5
96	140	4
97	141	2
98	143	1
99	145	0
